;Object Container Streaming: Server Side Streaming Manager;02.05.2017;;12.07.2017;;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;0
;Entity Owner Manager;06.04.2017;;29.05.2017;;29.05.2017;0;29.05.2017;0;29.05.2017;0;12.06.2017;+14;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;28.06.2017;+16;07.07.2017;+9;14.07.2017;+7;20.07.2017;+6;28.07.2017;+8;11.08.2017;+14;11.08.2017;0;11.08.2017;0;11.08.2017;0;+74
;Atmospheric Entry Gamecode;07.04.2017;;05.05.2017;;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;0
;Atmospheric Entry Graphics;07.04.2017;;05.05.2017;;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;0
;Kiosk UI;03.04.2017;;04.05.2017;;10.05.2017;+6;10.05.2017;0;10.05.2017;0;25.05.2017;+15;25.05.2017;0;07.06.2017;+13;07.06.2017;0;23.06.2017;+16;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;+50
;Fist Combat;15.05.2017;;12.06.2017;;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;0
;Armed (FPS Weapon Equipped);17.04.2017;;15.05.2017;;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;15.05.2017;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gameplay
(33 DONE - 16 TODO)";Inventory System Gamecode Engineering (Support);10.05.2017;;01.06.2017;;01.06.2017;0;01.06.2017;0;01.06.2017;0;01.06.2017;0;01.06.2017;0;01.06.2017;0;16.06.2017;+15;16.06.2017;0;03.07.2017;+17;03.07.2017;0;14.07.2017;+11;20.07.2017;+6;27.07.2017;+7;28.07.2017;+1;28.07.2017;0;28.07.2017;0;28.07.2017;0;+57
;Criminality;09.08.2017;;15.08.2017;;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;15.08.2017;0;0
;Restock / Repair v2;23.10.2017;;07.12.2017;;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;07.12.2017;0;0
;Service Beacon v1;26.06.2017;;22.08.2017;;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;22.08.2017;0;0
;Item 2.0 : ?;19.04.2017;;24.04.2017;;19.04.2017;-5;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;19.04.2017;0;0
;Ship to Ship Refuel System;02.08.2017;;01.12.2017;;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;01.12.2017;0;0
;Overheating;14.09.2017;;29.09.2017;;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;29.09.2017;0;0
